YEAR,SERVICE,TITLE,ID #,DEPARTMENT,LOCATION,DISTRICT,Description,FIN_CODE,Amount,LATITUDE,LONGITUDE
2019,Community Facilities,Asphalt Restoration and Replacement Program,CF-661722,Parks and Recreation,Citywide,Citywide,"This proposal requests continued support of the Asphalt Restoration and Replacement Program.  The program was first established in the 1996-97 budget to systematically resurface, seal coat, and/or repair the over 50 miles of paved paths and trails in the City's park system, including paved sites, building access routes, and parking lots.",CIB,5000,,
2019,Community Facilities,Asphalt Restoration and Replacement Program,CF-661722,Parks and Recreation,Citywide,Citywide,"This proposal requests continued support of the Asphalt Restoration and Replacement Program.  The program was first established in the 1996-97 budget to systematically resurface, seal coat, and/or repair the over 50 miles of paved paths and trails in the City's park system, including paved sites, building access routes, and parking lots.",CIB,220000,,
2019,Community Facilities,Asphalt Restoration and Replacement Program,CF-661722,Parks and Recreation,Citywide,Citywide,"This proposal requests continued support of the Asphalt Restoration and Replacement Program.  The program was first established in the 1996-97 budget to systematically resurface, seal coat, and/or repair the over 50 miles of paved paths and trails in the City's park system, including paved sites, building access routes, and parking lots.",CIB,25000,,
2019,Community Facilities,Children's Play Area Improvements,CF-661054,Parks and Recreation,Citywide,Citywide,"Continuation of an annual program which facilitates the systematic replacement, renovation, and/or retrofitting of the City's existing children's play areas based on the Parks Asset Management System, the Parks and Recreation Vision and System Plan and other factors.",CIB,10000,,
2019,Community Facilities,Children's Play Area Improvements,CF-661054,Parks and Recreation,Citywide,Citywide,"Continuation of an annual program which facilitates the systematic replacement, renovation, and/or retrofitting of the City's existing children's play areas based on the Parks Asset Management System, the Parks and Recreation Vision and System Plan and other factors.",CIB,15000,,
2019,Community Facilities,Children's Play Area Improvements,CF-661054,Parks and Recreation,Citywide,Citywide,"Continuation of an annual program which facilitates the systematic replacement, renovation, and/or retrofitting of the City's existing children's play areas based on the Parks Asset Management System, the Parks and Recreation Vision and System Plan and other factors.",CIB,205000,,
2019,Community Facilities,Children's Play Area Improvements,CF-661054,Parks and Recreation,Citywide,Citywide,"Continuation of an annual program which facilitates the systematic replacement, renovation, and/or retrofitting of the City's existing children's play areas based on the Parks Asset Management System, the Parks and Recreation Vision and System Plan and other factors.",CIB,20000,,
2019,Community Facilities,Citywide Tree Planting Program,CF-660835,Parks and Recreation,Citywide,Citywide,"The annual City Wide tree planting program/project provides for the addition or replacement of trees on boulevards and park land, with a yearly goal of planting approximately 2,000 trees, most deciduous and a smaller amount of conifers.",CIB,330000,,
2019,Internal Service,CIB Contingency,CF-660693,General Government,Citywide,Citywide,To set aside a portion of the Capital Improvement Bond proceeds for unforeseen budget needs such as new project cost overruns and matches to grant received.,CIB,250000,,
2019,Community Facilities,Parks Grant Prep/Preliminary Design Program,CF-660834,Parks and Recreation,Citywide,Citywide,"This proposal continues the program established in the 2008-09 budget to provide preliminary design services and assistance for community projects and grant preparation, including CIB and CIP preparation by the professional design staff within Parks and Recreation.  This is an existing annual program that is currently funded at $30,000/yr. CIB and $30,000/yr. PIA for a total of $60,000/year to help cover the basic cost of services requested and provided.",PIA,30000,,
